Date,Host,Service,@ably_sno,ably_market_sno,consumer_origin,@price_origin,@consumer_price_adjustment.discount_type,@consumer_price_adjustment.discount_rate,@consumer_price_adjustment.discount_price,@consumer_price_adjustment.started_at,@consumer_price_adjustment.ended_at,Message
"2025-01-13T05:07:00.391Z","ip-172-31-197-243.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:06:55.074Z","ip-172-31-208-221.ap-northeast-2.compute.internal-ably-prod","seller-api","2047586","10910","28900","21600",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:53.679Z","ip-172-31-255-142.ap-northeast-2.compute.internal-ably-prod","seller-api","2047585","10910","28900","21600",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:47.740Z","ip-172-31-247-108.ap-northeast-2.compute.internal-ably-prod","seller-api","2047584","10910","28900","21600",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:47.338Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","2047583","10910","28900","21600",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:41.384Z","ip-172-31-197-243.ap-northeast-2.compute.internal-ably-prod","seller-api","1451728","10910","35900","35900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:41.382Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","1738087","10910","19800","19800",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:40.646Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","21895764","11487",,,,,,,,"update_seller_goods"
"2025-01-13T05:06:38.975Z","ip-172-31-204-250.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:06:34.974Z","ip-172-31-204-250.ap-northeast-2.compute.internal-ably-prod","seller-api","1426340","10910","45500","32900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:06:28.645Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","1426338","10910","80000","63900",,,,,,"vendor_seller_update_goods"
